ORIGINATION_YEAR,CREDIT_TIER,CREDIT_SCORE_BUCKET,LOAN_TYPE,LOAN_COUNT,DEFAULTS,DEFAULT_RATE_PCT,AVG_CREDIT_SCORE,AVG_LOAN_AMOUNT,TOTAL_EXPOSURE,DEFAULTED_EXPOSURE
2018,Fair,580-619,Mortgage,1697,367,21.63,601,224750.74,381402000,84583000
2018,Fair,580-619,Auto,1435,286,19.93,601,32653.73,46858100,9186600
2018,Fair,620-669,Mortgage,3037,426,14.03,646,222385.91,675386000,98162000
2018,Fair,620-669,Auto,2536,321,12.66,646,32753.12,83061900,10442200
2018,Good,670-739,Mortgage,5837,604,10.35,706,227423.85,1327473000,143479000
2018,Good,670-739,Auto,4626,433,9.36,705,32789.69,151685100,14452800
2018,Very Good,740-799,Mortgage,4987,304,6.10,768,226906.96,1131585000,75650000
2018,Very Good,740-799,Auto,3946,210,5.32,768,32852.05,129634200,7329900
2018,Exceptional,800+,Auto,1518,80,5.27,817,33099.8,50245500,2788300
2018,Exceptional,800+,Mortgage,1965,116,5.90,817,225264.12,442644000,30679000
2018,Poor,<580,Mortgage,2336,641,27.44,529,224165.24,523650000,148556000
2018,Poor,<580,Auto,1925,535,27.79,528,33986.86,65424700,18856000
2019,Fair,580-619,Mortgage,1722,361,20.96,601,228042.39,392689000,86677000
2019,Fair,580-619,Auto,1389,239,17.21,601,32874.44,45662600,7777800
2019,Fair,620-669,Mortgage,3112,421,13.53,646,226074.55,703544000,101288000
2019,Fair,620-669,Auto,2424,367,15.14,646,32599.17,79020400,12472500
2019,Good,670-739,Auto,4556,407,8.93,706,33152.77,151044000,14400600
2019,Good,670-739,Mortgage,5807,578,9.95,706,224239.37,1302158000,139265000
2019,Very Good,740-799,Auto,3972,247,6.22,768,33194.03,131846700,8396200
2019,Very Good,740-799,Mortgage,4937,283,5.73,768,226809.2,1119757000,72503000
2019,Exceptional,800+,Auto,1537,67,4.36,817,32632.14,50155600,2264800
2019,Exceptional,800+,Mortgage,1927,129,6.69,818,225814.22,435144000,30668000
2019,Poor,<580,Mortgage,2291,606,26.45,528,226485.38,518878000,141615000
2019,Poor,<580,Auto,1828,459,25.11,528,33351.86,60967200,15628400
2020,Fair,580-619,Mortgage,1736,407,23.44,601,226745.97,393631000,99395000
2020,Fair,580-619,Auto,1405,323,22.99,601,32888.68,46208600,10844900
2020,Fair,620-669,Auto,2488,410,16.48,646,32893.13,81838100,13352300
2020,Fair,620-669,Mortgage,3246,593,18.27,646,225238.14,731123000,136441000
2020,Good,670-739,Auto,4548,551,12.12,706,32873.35,149508000,18677700
2020,Good,670-739,Mortgage,5765,735,12.75,705,224914.83,1296634000,171091000
2020,Very Good,740-799,Mortgage,4833,483,9.99,768,225565.07,1090156000,112431000
2020,Very Good,740-799,Auto,3963,374,9.44,768,32837.22,130133900,12564700
2020,Exceptional,800+,Auto,1517,151,9.95,817,32758.73,49695000,5017300
2020,Exceptional,800+,Mortgage,1929,173,8.97,817,224728.36,433501000,40263000
2020,Poor,<580,Mortgage,2454,714,29.10,529,225560.72,553526000,163528000
2020,Poor,<580,Auto,1868,549,29.39,528,33284.21,62174900,18507500
2021,Fair,580-619,Mortgage,1750,326,18.63,601,222263.43,388961000,74076000
2021,Fair,580-619,Auto,1326,229,17.27,601,33482.96,44398400,7521700
2021,Fair,620-669,Mortgage,3139,382,12.17,646,226621.54,711365000,93699000
2021,Fair,620-669,Auto,2535,337,13.29,646,32552.15,82519700,11041300
2021,Good,670-739,Mortgage,5972,556,9.31,706,223040.19,1331996000,131302000
2021,Good,670-739,Auto,4517,397,8.79,706,33070.8,149380800,13843500
2021,Very Good,740-799,Mortgage,5051,297,5.88,768,227921.2,1151230000,71657000
2021,Very Good,740-799,Auto,4003,202,5.05,768,32676.07,130802300,7065500
2021,Exceptional,800+,Auto,1548,70,4.52,817,33384.63,51679400,2365500
2021,Exceptional,800+,Mortgage,1989,111,5.58,817,227585.72,452668000,25374000
2021,Poor,<580,Mortgage,2411,603,25.01,528,225260.47,543103000,140991000
2021,Poor,<580,Auto,1796,435,24.22,529,33017.09,59298700,14795300
2022,Fair,580-619,Mortgage,1751,352,20.10,601,228163.34,399514000,83616000
2022,Fair,580-619,Auto,1380,262,18.99,601,33028.77,45579700,8469900
2022,Fair,620-669,Mortgage,3148,449,14.26,646,224388.82,706376000,99607000
2022,Fair,620-669,Auto,2456,344,14.01,645,32844.67,80666500,11547500
2022,Good,670-739,Auto,4634,487,10.51,705,32686.51,151469300,16053900
2022,Good,670-739,Mortgage,5939,637,10.73,706,224524.84,1333453000,146013000
2022,Very Good,740-799,Auto,3896,272,6.98,768,32753.93,127609300,9324400
2022,Very Good,740-799,Mortgage,4965,384,7.73,768,225570.19,1119956000,93232000
2022,Exceptional,800+,Mortgage,1994,143,7.17,818,226567.2,451775000,34010000
2022,Exceptional,800+,Auto,1539,96,6.24,817,33125.54,50980200,3488200
2022,Poor,<580,Auto,1819,423,23.25,527,32580.92,59264700,13817700
2022,Poor,<580,Mortgage,2352,581,24.70,530,219980.87,517395000,134921000
2023,Fair,580-619,Auto,1410,227,16.10,601,33871.13,47758300,7923100
2023,Fair,580-619,Mortgage,1802,291,16.15,601,227963.93,410791000,67038000
2023,Fair,620-669,Mortgage,3070,364,11.86,646,225384.69,691931000,85809000
2023,Fair,620-669,Auto,2392,293,12.25,646,32655.18,78111200,9552100
2023,Good,670-739,Mortgage,5767,545,9.45,706,226204.44,1304521000,125418000
2023,Good,670-739,Auto,4438,400,9.01,706,32791.03,145526600,13576600
2023,Very Good,740-799,Auto,3849,274,7.12,768,32581.48,125406100,9380100
2023,Very Good,740-799,Mortgage,4915,362,7.37,768,224519.43,1103513000,88244000
2023,Exceptional,800+,Mortgage,1908,139,7.29,817,223190.25,425847000,29839000
2023,Exceptional,800+,Auto,1495,81,5.42,817,32414.18,48459200,2712000
2023,Poor,<580,Mortgage,2470,514,20.81,529,226143.32,558574000,116873000
2023,Poor,<580,Auto,1845,373,20.22,526,32857.89,60622800,12241300
2024,Fair,580-619,Auto,1337,81,6.06,600,32426.25,43353900,2760100
2024,Fair,580-619,Mortgage,1799,122,6.78,601,224097.83,403152000,27189000
2024,Fair,620-669,Auto,2403,99,4.12,646,33273.41,79956000,3571400
2024,Fair,620-669,Mortgage,3225,152,4.71,646,226687.13,731066000,37104000
2024,Good,670-739,Mortgage,5787,180,3.11,706,224919.99,1301612000,44104000
2024,Good,670-739,Auto,4586,149,3.25,705,32747.73,150181100,4998700
2024,Very Good,740-799,Mortgage,4953,128,2.58,768,224646.27,1112673000,29403000
2024,Very Good,740-799,Auto,3920,79,2.02,768,32432.91,127137000,2689400
2024,Exceptional,800+,Mortgage,1846,52,2.82,817,223682.02,412917000,12408000
2024,Exceptional,800+,Auto,1520,30,1.97,817,33146.38,50382500,1033700
