STATE,LOAN_TYPE,LOAN_COUNT,DEFAULT_RATE_PCT,TOTAL_EXPOSURE_MILLIONS,AVG_CREDIT_SCORE,AVG_DTI,AVG_RISK_SCORE,TOTAL_DEFAULTS,DEFAULTED_EXPOSURE_MILLIONS
SD,Auto,219,13.70,7.64,689,24.4,39.1,30,1.05
AK,Mortgage,238,13.45,52.03,686,24.8,39.2,32,5.82
NH,Auto,537,13.41,18.43,684,23.6,39.9,72,2.39
MD,Mortgage,2627,13.13,593.12,692,25.1,38.4,345,79.98
ID,Auto,536,12.87,17.56,690,23.1,38.4,69,2.31
SD,Mortgage,250,12.80,56.47,688,25.4,39.3,32,7.21
ID,Mortgage,667,12.74,151.51,691,25.7,39,85,22.14
CT,Mortgage,1361,12.71,304.83,686,25.2,38.9,173,39.27
NE,Auto,564,12.41,18.43,695,23,37.7,70,2.34
NM,Auto,532,12.41,18.06,693,23.9,39,66,2.29
NH,Mortgage,689,12.34,150.95,689,24.6,39,85,19.94
UT,Auto,1058,12.29,34.78,687,23.3,39.1,130,4.24
KS,Auto,1088,12.22,35.48,694,23,38.2,133,4.58
RI,Auto,305,12.13,9.86,693,23.3,38.8,37,1.25
NJ,Mortgage,3877,12.12,873.44,692,25.1,38.3,470,110.52
SC,Mortgage,1378,12.12,309.73,691,25,38.4,167,37.35
ME,Mortgage,381,12.07,90.55,695,26.1,38.9,46,11.29
DC,Auto,216,12.04,7.03,688,22.6,39,26,0.87
TN,Mortgage,2669,11.95,601.95,694,25.1,38.4,319,76.19
IN,Auto,2104,11.88,68.44,697,23,37.7,250,8.81
SC,Auto,1098,11.84,36.31,688,23.1,38.8,130,4.26
CA,Mortgage,16017,11.79,3619.87,691,25.1,38.5,1888,443.97
NY,Mortgage,9498,11.73,2157,692,25.2,38.4,1114,264.2
MI,Mortgage,4068,11.68,916.55,692,25.2,38.3,475,111.06
MT,Mortgage,420,11.67,94.77,692,25.8,38.4,49,10.72
KS,Mortgage,1303,11.67,288.98,693,25.2,38.4,152,33
IL,Mortgage,5226,11.65,1173.6,691,24.9,38.4,609,146.12
CO,Auto,2020,11.58,66.21,698,23.4,37.8,234,7.72
RI,Mortgage,441,11.56,99.7,701,25.1,37.3,51,11.69
ME,Auto,329,11.55,10.68,682,23.4,40.5,38,1.45
AL,Auto,1056,11.55,34.55,698,23.1,37.5,122,4.17
MN,Mortgage,2760,11.52,638.53,693,25.2,38.3,318,77.44
WV,Mortgage,661,11.50,151.81,698,25,38,76,19.57
FL,Mortgage,10527,11.48,2366.05,693,25.1,38.2,1209,279.17
WA,Mortgage,4088,11.47,912.21,694,25,38.1,469,109.85
NC,Mortgage,3963,11.36,890.3,692,25.2,38.4,450,109.3
WI,Auto,2181,11.33,71.36,693,23.1,38.4,247,8.18
OK,Auto,1080,11.30,35.52,695,22.7,37.8,122,4.33
WI,Mortgage,2716,11.23,610.33,691,25,38.5,305,69.21
OK,Mortgage,1323,11.19,292.16,695,25.2,38.4,148,37.63
GA,Mortgage,5270,11.18,1187.72,692,25.1,38.5,589,135.83
HI,Auto,519,11.18,17.44,689,23.6,38.6,58,2.11
FL,Auto,8509,11.16,280.26,691,23.1,38.6,950,32.29
OH,Mortgage,5380,11.15,1213.23,691,25.3,38.7,600,141.07
NV,Auto,1032,11.14,33.89,690,22.9,38.5,115,4.03
MI,Auto,3227,11.12,106.24,690,23.2,38.5,359,11.96
IN,Mortgage,2733,11.12,608.57,693,24.9,38.4,304,67.51
PA,Mortgage,6853,11.10,1547.09,693,25.2,38.4,761,176.78
CO,Mortgage,2706,11.05,608.24,693,25.1,38.1,299,73.1
NV,Mortgage,1387,11.03,315.39,689,25.1,38.8,153,35.62
HI,Mortgage,699,11.02,155.78,694,25.5,38.4,77,18.8
OR,Mortgage,1343,11.02,304.61,691,25.1,38.4,148,36.3
AL,Mortgage,1381,11.01,307.08,691,25,38.6,152,35.13
LA,Mortgage,1375,10.98,311.48,692,25.4,38.6,151,38.68
NJ,Auto,3223,10.95,106.63,694,23.4,38.3,353,11.77
MO,Mortgage,2657,10.88,606.08,695,25.1,37.9,289,67.76
VA,Auto,3084,10.86,101.74,693,23,38.1,335,11.79
AZ,Mortgage,4042,10.86,916.83,692,25.1,38.5,439,97.64
OR,Auto,1017,10.82,33.55,689,23,38.9,110,3.43
