LOAN_TYPE,ORIGINATION_YEAR,TOTAL_LOANS,TOTAL_EXPOSURE,AVG_LOAN_AMOUNT,TOTAL_DEFAULTS,DEFAULT_RATE_PCT,AVG_CREDIT_SCORE,AVG_DTI,AVG_INTEREST_RATE,AVG_LTV,HIGH_RISK_LOANS,AVG_RISK_SCORE,HIGH_RISK_PCT,EXPOSURE_AT_RISK
Auto,2018,15986,526909500,32960.68,1865,11.67,691,23.2,6.06,93.2,8025,38.5,50.20,63055800
Mortgage,2018,19859,4482140000,225698.17,2458,12.38,693,25.1,4.35,83.5,5908,38.3,29.75,581109000
Auto,2019,15706,518696500,33025.37,1786,11.37,693,23.1,6.42,93.1,7832,38.3,49.87,60940300
Mortgage,2019,19796,4472170000,225912.81,2378,12.01,693,25.1,4.72,83.5,5840,38.3,29.50,572016000
Auto,2020,15789,519558500,32906.36,2358,14.93,693,23.2,4.71,93.2,7853,38.3,49.74,78964400
Mortgage,2020,19963,4498571000,225345.44,3105,15.55,691,25.1,3.09,83.5,6021,38.5,30.16,723149000
Auto,2021,15725,518079300,32946.22,1670,10.62,694,23.1,4.31,93.1,7724,38.1,49.12,56632800
Mortgage,2021,20312,4579323000,225449.14,2275,11.20,693,25.1,2.71,83.5,5969,38.3,29.39,537099000
Auto,2022,15724,515569700,32788.71,1884,11.98,693,23,6,93.1,7678,38.3,48.83,62701600
Mortgage,2022,20149,4528469000,224749.07,2546,12.64,693,25.2,4.33,83.5,5912,38.3,29.34,591399000
Auto,2023,15429,505884200,32787.88,1648,10.68,692,23.1,9.34,93.2,7675,38.4,49.74,55385200
Mortgage,2023,19932,4495177000,225525.64,2215,11.11,691,25.1,7.64,83.5,6020,38.5,30.20,513221000
Auto,2024,15641,513014100,32799.32,567,3.63,693,23.1,9.4,93.2,7715,38.3,49.33,19500500
Mortgage,2024,19989,4497758000,225011.66,831,4.16,691,25,7.7,83.5,6022,38.4,30.13,195475000
